design,battery_kwh,pv_kw,lp_operational_cost,lp_total_cost,lp_lcoe,lp_rank
B3500_PV2278,3500.0,2277.778,926617.4035781485,1392886.211501201,0.13878242162811513,34
B3500_PV2500,3500.0,2500.0,901370.9778961301,1394539.0160215176,0.13894710142170733,35
B3500_PV2056,3500.0,2055.556,955378.5401403448,1394748.117861062,0.1389679356143494,36
B2500_PV1389,2500.0,1388.889,1091160.263082735,1395388.7732262257,0.13903176832535788,37
B3000_PV1611,3000.0,1611.111,1037620.55780944,1395969.926117048,0.13908967241318537,38
B2000_PV1167,2000.0,1166.667,1148144.112614619,1398251.7645939924,0.1393170270003582,39
B3500_PV1833,3500.0,1833.333,987934.2738897975,1400404.500361523,0.13953151823480106,40
B1500_PV944,1500.0,944.444,1206829.5683172443,1402816.2410858436,0.1397718158379338,41
B4000_PV2278,4000.0,2277.778,912135.219186127,1405625.6550709615,0.14005173624563913,42
B4000_PV2500,4000.0,2500.0,885893.372568128,1406283.0386552976,0.1401172356992337,43
B1000_PV722,1000.0,722.222,1265655.9472795401,1407521.761884022,0.14024065784814282,44
B3500_PV1611,3500.0,1611.111,1025759.5277161502,1411330.5239855403,0.14062014988668084,45
B3000_PV1389,3000.0,1388.889,1079881.5595634629,1411331.6976687356,0.14062026682846313,46
B500_PV500,500.0,500.0,1324482.384383823,1412227.3408241877,0.14070950565142076,47
B2500_PV1167,2500.0,1166.667,1136804.2514259927,1414133.5313671483,0.1408994319623084,48
B4000_PV1833,4000.0,1833.333,975246.4586811472,1414938.3131146545,0.14097961766511655,49
B4500_PV2500,4500.0,2500.0,870832.0881404905,1418443.3821894424,0.14132885076840687,50
B2000_PV944,2000.0,944.444,1195474.0058385334,1418682.3065689148,0.14135265637700245,51
B4500_PV2278,4500.0,2277.778,897982.9017935526,1418694.9656401693,0.14135391768359717,52
B4500_PV2056,4500.0,2055.556,928308.6833054794,1422121.516949761,0.14169532754511457,53
B1500_PV722,1500.0,722.222,1254300.1625123308,1423387.605078595,0.14182147623914523,54
B4000_PV1611,4000.0,1611.111,1014259.6963230921,1427052.3205542644,0.14218661596419377,55
B3500_PV1389,3500.0,1388.889,1068732.2026735991,1427403.9687406542,0.14222165298765294,56
B1000_PV500,1000.0,500.0,1313126.599616613,1428093.1840187598,0.1422903240424231,57
B4500_PV1833,4500.0,1833.333,962993.7254605412,1429907.207855831,0.14247106717773528,58
B3000_PV1167,3000.0,1166.667,1125470.8989498569,1430021.8068527945,0.1424824854301262,59
B5000_PV2500,5000.0,2500.0,856207.2373769413,1431040.159387675,0.1425839505962646,60
B5000_PV2278,5000.0,2277.778,884125.1046809003,1432058.796489299,0.14268544411566075,61
B2500_PV944,2500.0,944.444,1184118.719485655,1434548.6481778186,0.14293352442830537,62
B5000_PV2056,5000.0,2055.556,915386.8212713408,1436421.2828774045,0.1431201073496434,63
B2000_PV722,2000.0,722.222,1242944.377745121,1439253.4482731672,0.1434022946301476,64
B4500_PV1611,4500.0,1611.111,1003027.1355773378,1443041.3877702923,0.14377971197554956,65
B1500_PV500,1500.0,500.0,1301770.814849404,1443959.027213333,0.14387114243342553,66
B5000_PV1833,5000.0,1833.333,951138.94860069,1445274.0589577616,0.14400216770203877,67
B3500_PV1167,3500.0,1166.667,1114151.0849720552,1445923.620836775,0.14406688782764734,68
B3000_PV944,3000.0,944.444,1172763.786425825,1450415.3430797707,0.14451442768052014,69
B2500_PV722,2500.0,722.222,1231588.592972946,1455119.2914627744,0.14498311302065522,70
B4500_PV1389,4500.0,1388.889,1046571.3447570376,1459686.3667476568,0.14543816079308655,71
B2000_PV500,2000.0,500.0,1290415.030082194,1459824.870407905,0.14545196082442785,72
B4000_PV1167,4000.0,1166.667,1102860.6925960965,1461854.8564225985,0.1456542216930215,73
B3000_PV722,3000.0,722.222,1220232.8114152385,1470985.137866849,0.14656393173144144,74
B2500_PV500,2500.0,500.0,1279059.2453100188,1475690.713597512,0.1470327792149355,75
B5000_PV1389,5000.0,1388.889,1035528.294445996,1475864.9443983973,0.14705013897646477,76
B4500_PV1167,4500.0,1166.667,1091615.2509028143,1477831.0426910985,0.14724603429078903,77
B4000_PV944,4000.0,944.444,1150054.983887174,1482149.796464684,0.14767634015652645,78
B3500_PV722,3500.0,722.222,1208877.0661115297,1486851.0205249225,0.14814475405445218,79
B3000_PV500,3000.0,500.0,1267703.460547774,1491556.5567970495,0.14861359760643256,80
B5000_PV1167,5000.0,1166.667,1080406.7388773826,1493844.1586274488,0.14884152643444612,81
B4500_PV944,4500.0,944.444,1138701.1389999073,1498017.5795391996,0.1492573518305364,82
B4000_PV722,4000.0,722.222,1197521.4872580734,1502717.0696332483,0.14972559296199717,83
B3500_PV500,3500.0,500.0,1256347.6757805652,1507422.399991623,0.15019441599743502,84
B5000_PV944,5000.0,944.444,1127347.7401282107,1513885.808629285,0.1508384079440134,85
B4500_PV722,4500.0,722.222,1186166.1880081762,1518583.3983451333,0.15130645972828521,86
B4000_PV500,4000.0,500.0,1244991.891013355,1523288.2431861947,0.15177523438843732,87
B5000_PV722,5000.0,722.222,1174811.274658406,1534450.112957145,0.15288736494434296,88
B4500_PV500,4500.0,500.0,1233636.1062461445,1539154.0863807665,0.15335605277943962,89
B5000_PV500,5000.0,500.0,1222280.3235106778,1555019.9316070818,0.1549368713728779,90
